count,mean,std,min,25%,50%,75%,max,median
552.0,4051.521739130435,1259.5332250798674,2760.0,3094.0,3735.0,4850.0,8200.0,3735.0
552.0,1.826086956521739,0.7612487923289596,1.0,1.0,2.0,2.0,3.0,2.0
552.0,1.7826086956521738,0.832542563866978,0.0,1.0,2.0,2.0,3.0,2.0
552.0,2443.1517391304346,748.0560483945168,1531.67,1782.5,2425.0,2925.0,4367.0,2425.0
