,statusText,price,address,addressZipcode,beds,baths,area,rentZestimate,variableData.text,units
336,Apartment for rent,2995,"(undisclosed Address), San Diego, CA 92109",92109,0.0,1.0,500.0,,18 days ago,
337,Apartment for rent,1900,"4130 Haines St APT 5A, San Diego, CA 92109",92109,0.0,1.0,456.0,3503.0,2 days ago,
338,Apartment for rent,4800,"(undisclosed Address), San Diego, CA 92109",92109,1.0,1.5,900.0,3749.0,18 days ago,
339,Apartment for rent,3400,"1863 Oliver Ave, San Diego, CA 92109",92109,0.0,1.0,800.0,,10 days ago,
340,Apartment for rent,3500,"1242 Opal St, San Diego, CA 92109",92109,1.0,1.0,600.0,7547.0,3 days ago,
341,House for rent,6950,"821 Tangiers Ct, San Diego, CA 92109",92109,3.0,2.5,1485.0,7516.0,3 days ago,
342,Townhouse for rent,5500,"1338 Thomas Ave APT B, San Diego, CA 92109",92109,3.0,2.5,1275.0,4600.0,10 days ago,
343,Apartment for rent,3050,"2020 Diamond St UNIT 14, San Diego, CA 92109",92109,1.0,1.0,675.0,2694.0,9 days ago,
344,Apartment for rent,3795,"4656 Bayard St, San Diego, CA 92109",92109,2.0,1.0,815.0,3740.0,5 days ago,
345,Apartment for rent,2795,"839 Sapphire St UNIT 2, San Diego, CA 92109",92109,1.0,1.0,567.0,2962.0,10 days ago,
346,Apartment for rent,2100,"Casa Linda, 7623 Eads Ave, La Jolla, CA 92037",92037,1.0,1.0,400.0,2425.0,43 days ago,
347,Apartment for rent,7800,"6529 Neptune Pl, La Jolla, CA 92037",92037,2.0,2.0,1185.0,5214.0,3D Tour,
348,House for rent,75000,"7447 Hillside Dr, La Jolla, CA 92037",92037,5.0,6.0,8175.0,42199.0,3D Tour,
349,Apartment for rent,12000,"525 Marine St UNIT 12, La Jolla, CA 92037",92037,3.0,2.0,1336.0,7925.0,5 days ago,
350,House for rent,4295,"933 Coast Blvd S, La Jolla, CA 92037",92037,2.0,1.0,,3850.0,4 days ago,
351,Apartment for rent,3395,"Prospect, 315-329 Prospect St #10722853, La Jolla, CA 92037",92037,1.0,1.0,695.0,,7 days ago,
352,Apartment for rent,4195,"Dra: Rg/Eam-3.22, 7321-27 Draper Ave, La Jolla, CA 92037",92037,2.0,2.5,1050.0,29000.0,7 days ago,
353,Apartment for rent,4600,"6105 La Jolla Scenic Dr S APT B, La Jolla, CA 92037",92037,1.0,1.0,544.0,,18 days ago,
354,House for rent,3800,"8472 Via Sonoma UNIT 25, La Jolla, CA 92037",92037,2.0,2.5,1332.0,3499.0,19 days ago,
355,House for rent,4880,"(undisclosed Address), La Jolla, CA 92037",92037,2.0,1.0,1000.0,8042.0,5 days ago,
356,House for rent,14000,"7880 Avenida Kirjah, La Jolla, CA 92037",92037,5.0,6.0,4110.0,9637.0,10 days ago,
357,House for rent,4000,"5449 La Jolla Hermosa Ave, La Jolla, CA 92037",92037,1.0,1.0,500.0,11924.0,4 days ago,
358,Townhouse for rent,6250,"5794 Caminito Empresa, La Jolla, CA 92037",92037,3.0,2.5,2046.0,6358.0,25 days ago,
359,Apartment for rent,2700,"8656 Via Mallorca APT D, La Jolla, CA 92037",92037,1.0,1.0,691.0,2382.0,42 days ago,
360,House for rent,8500,"8025 Paseo Del Ocaso, La Jolla, CA 92037",92037,3.0,3.0,1850.0,6999.0,3 days ago,
361,Apartment for rent,3100,"8356 Via Sonoma UNIT B, La Jolla, CA 92037",92037,1.0,1.0,636.0,2434.0,37 days ago,
362,House for rent,15000,"(undisclosed Address), La Jolla, CA 92037",92037,4.0,4.5,4428.0,,42 days ago,
363,House for rent,10000,"1717 Crespo Dr, La Jolla, CA 92037",92037,4.0,3.0,2060.0,8745.0,31 days ago,
364,House for rent,12900,"7005 Via Estrada, La Jolla, CA 92037",92037,6.0,5.0,4121.0,13215.0,19 days ago,
365,Apartment for rent,2800,"9237 Regents Rd #K404, La Jolla, CA 92037",92037,1.0,1.0,763.0,2983.0,18 days ago,
366,Townhouse for rent,5000,"8228 Caminito Modena, La Jolla, CA 92037",92037,3.0,3.0,1500.0,4600.0,12 days ago,
367,Apartment for rent,4200,"2600 Torrey Pines Rd APT B17, La Jolla, CA 92037",92037,2.0,2.0,1102.0,3788.0,9 days ago,
368,House for rent,8500,"1345 Torrey Pines Rd, La Jolla, CA 92037",92037,3.0,2.5,2929.0,10527.0,4 days ago,
369,House for rent,11500,"7226 Fay Ave, La Jolla, CA 92037",92037,4.0,4.0,3200.0,12641.0,12 days ago,
370,Apartment for rent,3695,"1020-1026 Coast Blvd S., 1024 Coast Blvd S., 1020-1026 S Coast Blvd #1026-10, La Jolla, CA 92037",92037,2.0,1.0,,,28 days ago,
371,House for rent,7995,"(undisclosed Address), La Jolla, CA 92037",92037,3.0,2.0,1200.0,5622.0,9 days ago,
372,House for rent,11000,"6529 Manana Pl, La Jolla, CA 92037",92037,4.0,3.0,2484.0,10368.0,Video Walkthrough,
373,Townhouse for rent,4800,"8613 Via Mallorca UNIT C, La Jolla, CA 92037",92037,3.0,2.5,1992.0,5469.0,30 days ago,
374,House for rent,5195,"4925 Milton St, San Diego, CA 92110",92110,3.0,2.0,1545.0,4868.0,2 days ago,
375,Apartment for rent,4450,"(undisclosed Address), San Diego, CA 92110",92110,2.0,2.0,1100.0,3515.0,9 days ago,
376,Apartment for rent,4775,"(undisclosed Address), San Diego, CA 92110",92110,2.0,2.0,850.0,2762.0,18 days ago,
377,Condo for rent,3500,"3811 Basilone St UNIT 2, San Diego, CA 92110",92110,3.0,2.0,1260.0,3658.0,3 days ago,
378,Apartment for rent,4000,"1835 Linwood St, San Diego, CA 92110",92110,2.0,1.0,835.0,3099.0,12 days ago,
379,Apartment for rent,3400,"5765 Friars Rd UNIT 185, San Diego, CA 92110",92110,2.0,2.0,1128.0,3300.0,18 days ago,
380,Apartment for rent,2500,"5474 Lauretta St, San Diego, CA 92110",92110,2.0,1.0,750.0,2591.0,3 days ago,
381,Apartment for rent,2350,"2445B Juan St, San Diego, CA 92110",92110,1.0,1.0,415.0,,10 days ago,
382,Apartment for rent,2800,"1205 Colusa St UNIT 11, San Diego, CA 92110",92110,2.0,1.0,750.0,2629.0,13 days ago,
383,Apartment for rent,3100,"2556 Chicago St UNIT 7, San Diego, CA 92110",92110,1.0,1.0,572.0,2199.0,18 days ago,
384,Apartment for rent,1975,"1825 Titus St, San Diego, CA 92110",92110,1.0,1.0,475.0,2205.0,8 days ago,
385,House for rent,4000,"(undisclosed Address), San Diego, CA 92110",92110,3.0,2.0,1121.0,4054.0,11 days ago,
386,Townhouse for rent,2650,"3930 Twiggs St #A, San Diego, CA 92110",92110,1.0,1.0,950.0,3152.0,8 days ago,
387,Townhouse for rent,3950,"6082 Cirrus St, San Diego, CA 92110",92110,3.0,2.5,1601.0,4500.0,18 days ago,
388,Apartment for rent,2188,"2188 San Diego Ave, San Diego, CA 92110",92110,0.0,1.0,300.0,1699.0,27 days ago,
